model_family,method,method_label,metric,mean,ci_low,ci_high,random_mean,mean_diff_vs_random,n_pairs,p_value,q_value,significance
DeepPlantAllergy,integrated_gradients,IG,AUPRC,0.295297854049701,0.23589312274844343,0.3589112327885974,0.26749303989291584,0.02780481415678506,61.0,0.11654626853821899,0.13886536265319646,ns
DeepPlantAllergy,integrated_gradients,IG,Precision@k,0.2549399825644603,0.19350595603664958,0.31778604694670604,0.2500999968557407,0.004839985708719654,61.0,0.8659572836528787,0.8659572836528787,ns
DeepPlantAllergy,gradient_x_input,Grad×Input,AUROC,0.4859954799426156,0.469805098341019,0.5017240075560211,0.5002641643098122,-0.014268684367196575,61.0,0.09492028496696472,0.1447783097573194,ns
DeepPlantAllergy,gradient_x_input,Grad×Input,AUPRC,0.2583088917247004,0.2074908873354838,0.31064717311929885,0.26749303989291584,-0.00918414816821553,61.0,0.007459919053261809,0.04761432836567879,*
DeepPlantAllergy,gradient_x_input,Grad×Input,Precision@k,0.23148609888119426,0.17827132683023367,0.285742105044131,0.2500999968557407,-0.01861389797454642,61.0,0.006413183297587397,0.01763625406836534,*
DeepPlantAllergy,smoothgrad_ig,SmoothGrad-IG,AUROC,0.519544454707264,0.4771427306298785,0.5597272009229459,0.5002641643098122,0.01928029039745181,61.0,0.35976975873384254,0.3957467346072268,ns
DeepPlantAllergy,smoothgrad_ig,SmoothGrad-IG,AUPRC,0.2957798795553506,0.23543248957878696,0.3588305876495317,0.26749303989291584,0.02828683966243475,61.0,0.13611227313758484,0.1425938099536603,ns
DeepPlantAllergy,smoothgrad_ig,SmoothGrad-IG,Precision@k,0.2578755327334108,0.1969570729990304,0.3196633880718823,0.2500999968557407,0.0077755358776701545,61.0,0.7168055852823517,0.7509391845815113,ns
DeepPlantAllergy,occlusion,Occlusion,AUROC,0.48118761777997476,0.43873275268657114,0.5247134052785128,0.5002641643098122,-0.01907654652983742,61.0,0.2579342434988069,0.2986607029986185,ns
DeepPlantAllergy,occlusion,Occlusion,AUPRC,0.285425931583286,0.22891105775390186,0.34067135560472406,0.26749303989291584,0.017932891690370153,61.0,0.6901554994062749,0.6901554994062749,ns
DeepPlantAllergy,occlusion,Occlusion,Precision@k,0.24035797658584324,0.18559737898872072,0.29783033977377127,0.2500999968557407,-0.009742020269897468,61.0,0.06334708463319672,0.07334925589106989,ns
